,dateAdded,dateUpdated,name,brand,primaryCategories,colors,prices.amountMax,prices.amountMin,prices.availability,prices.color,prices.offer,prices.size
107,2019-05-01T05:01:50Z,2019-05-01T05:01:50Z,FLORAL Gemma Women s Wide Width Evening,Floral,Shoes,Gold,49.95,49.95,TRUE,Gold,Online only,7
108,2019-05-01T05:01:44Z,2019-05-01T05:01:44Z,New Balance Women s Wvngo By Ankle-High,New Balance,Shoes,By,61.48,61.48,FALSE,By,Online only: 53% off,8W
109,2019-05-01T05:01:34Z,2019-05-01T05:01:34Z,New Balance Women s WW813 Walking Hook,New Balance,Shoes,Black,122.6,122.6,TRUE,Black,Online only,7 C/D US
110,2019-05-01T05:01:33Z,2019-05-01T05:01:33Z,New Easy Street Womens Emma CocoaLeathe,Easy Street,Shoes,Cocoa Leather/Fabric,16.23,16.23,FALSE,Cocoa Leather/Fabric,Online only,6.5
111,2019-05-01T05:01:22Z,2019-05-01T05:01:22Z,Easy Spirit Womens Motion Leather Almon,Easy Spirit,Shoes,Black/Patent,57.59,57.59,TRUE,Black/Patent,Online only: 28% off,11
112,2019-05-01T05:01:11Z,2019-05-01T05:01:11Z,Call It Spring Womens Hailassi Booties,Call It Spring,Shoes,Black,52,52,TRUE,Black,Online only,9 Medium BM
113,2019-05-01T05:01:06Z,2019-05-01T05:01:06Z,trotters women s mindy black tumbled le,Trotters,Shoes,Black Suede,62.96,62.96,FALSE,Black Suede,Online only: 52% off,12
114,2019-05-01T05:01:06Z,2019-05-01T05:01:06Z,trotters women s mindy black tumbled le,Trotters,Shoes,Black Suede,20.74,20.74,TRUE,Black Suede,Online only: 57% off,7.5
115,2019-05-01T05:00:41Z,2019-05-01T05:00:41Z,Women s Charles by Charles David Kitten,Charles by Charles David,Shoes,White,49.95,49.95,TRUE,White,Online only: 50% off,10 BM US Women
116,2019-05-01T03:41:38Z,2019-05-01T03:41:38Z,City Classified Stylish-S Women s Zippe,City Classified,Shoes,Dark Blush,29.95,29.95,TRUE,Dark Blush,Online only,8
117,2019-05-01T03:15:48Z,2019-05-01T03:15:50Z,women s k-swiss st329 cmf,k-swiss,Shoes,White,62.79,62.79,FALSE,White,Online only,7.5
118,2019-05-01T03:14:18Z,2019-05-01T03:14:18Z,City Classified Decade-S Women s Perfor,City Classified,Shoes,Chestnut,26.95,26.95,TRUE,Chestnut,Online only,8.5
119,2019-05-01T03:14:15Z,2019-05-01T03:14:15Z,Tretorn Men s Camden 3 Suede Birch / Wh,Tretorn,Shoes,Birch / White,64,64,TRUE,Birch / White,Online only,14M
120,2019-05-01T03:09:35Z,2019-05-01T03:14:03Z,"FABULOUS-3035, 8 3/4   Heel 8 1/4   Thi",Pleaser,Shoes,Black Crinkle Patent,137.95,137.95,TRUE,Black Crinkle Patent,Online only,Size 7
121,2019-05-01T03:09:32Z,2019-05-01T03:13:17Z,Women s Pleaser Adore 1018RBG Open Toe,Pleaser,Shoes,Rainbow Multi Glitter/Black Ma,83.95,83.95,TRUE,Rainbow Multi Glitter/Black Ma,Online only,6
122,2019-05-01T03:09:32Z,2019-05-01T03:13:17Z,Women s Timberland PRO Renova Professio,Timberland PRO,Shoes,Brown,109.95,109.95,FALSE,Brown,Online only,6
123,2019-05-01T03:09:32Z,2019-05-01T03:13:17Z,Women s Timberland PRO Renova Professio,Timberland PRO,Shoes,Brown,109.95,109.95,FALSE,Brown,Online only,7.5
124,2019-05-01T03:09:32Z,2019-05-01T03:13:17Z,Women s Pleaser Adore 1017RSF Ankle Boo,Pleaser,Shoes,Clear PVC/Multi/Fuchsia Chrome,103.95,103.95,TRUE,Clear PVC/Multi/Fuchsia Chrome,Online only,7
125,2019-05-01T03:09:32Z,2019-05-01T03:13:17Z,Women s Pleaser Adore 1018RBG Open Toe,Pleaser,Shoes,Rainbow Multi Glitter/Neon Whi,83.95,83.95,TRUE,Rainbow Multi Glitter/Neon Whi,Online only,5
126,2019-05-01T03:13:03Z,2019-05-01T03:13:17Z,Women s Timberland PRO Renova Professio,Timberland PRO,Shoes,Black,109.95,109.95,TRUE,Black,Online only,7.5
127,2019-05-01T03:09:32Z,2019-05-01T03:13:17Z,Women s Timberland PRO Renova Professio,Timberland PRO,Shoes,Black,109.95,109.95,TRUE,Black,Online only,8.5
128,2019-05-01T03:09:31Z,2019-05-01T03:13:16Z,Women s Pleaser Adore 1017RSF Ankle Boo,Pleaser,Shoes,Clear PVC/Multi/Fuchsia Chrome,103.95,103.95,TRUE,Clear PVC/Multi/Fuchsia Chrome,Online only,8
129,2019-05-01T03:09:31Z,2019-05-01T03:13:16Z,women s pleaser adore 1017rsft ankle bo,Pleaser,Shoes,Clear PVC-Black/Black,98.95,98.95,FALSE,Clear PVC-Black/Black,Online only,9
130,2019-05-01T03:09:37Z,2019-05-01T03:13:16Z,Women s Genuine Grip Footwear Slip-Resi,Genuine Grip,Shoes,White Leather,50,50,TRUE,White Leather,Online only,8
131,2019-05-01T03:09:31Z,2019-05-01T03:13:16Z,Women s Pleaser Adore 1017RSF Ankle Boo,Pleaser,Shoes,Clear PVC-Black Rhinestones/Da,103.95,103.95,TRUE,Clear PVC-Black Rhinestones/Da,Online only,10
132,2019-05-01T03:09:36Z,2019-05-01T03:13:15Z,Steve Madden Women s Sophia Suede Taupe,Steve Madden,Shoes,Taupe,21.99,21.99,TRUE,Taupe,Online only: 71% off,11M
133,2019-05-01T03:09:37Z,2019-05-01T03:13:15Z,Steve Madden Women s Saturn Black Leath,Steve Madden,Shoes,Black,21.99,21.99,TRUE,Black,Online only: 83% off,9M
134,2019-05-01T03:09:36Z,2019-05-01T03:13:15Z,Steve Madden Women s Shanna Nubuck Grey,Steve Madden,Shoes,Tan,21.99,21.99,TRUE,Tan,Online only: 73% off,10M
135,2019-05-01T03:09:37Z,2019-05-01T03:13:15Z,Women s Genuine Grip Footwear Slip-Resi,Genuine Grip,Shoes,Black Leather,42.3,42.3,FALSE,Black Leather,Online only: 27% off,8
136,2019-05-01T03:09:39Z,2019-05-01T03:13:11Z,Genuine Grip Women s Black Casual Oxfor,Genuine Grip,Shoes,Black Soft Full Grain Leather,52.2,52.2,TRUE,Black Soft Full Grain Leather,Online only: 24% off,10
137,2019-05-01T03:09:39Z,2019-05-01T03:13:11Z,"Symbol37 by Forever Link, Lightweight D",Forever Link,Shoes,Khaki Green,27.98,27.98,TRUE,Khaki Green,Online only,US 7
138,2019-05-01T03:11:15Z,2019-05-01T03:13:11Z,Style Co Qwinn Round Toe Synthetic Ankl,Style Co.,Shoes,Black,25,25,FALSE,Black,Online only: 58% off,5
139,2019-05-01T03:09:39Z,2019-05-01T03:13:11Z,"Symbol37 by Forever Link, Lightweight D",Forever Link,Shoes,Black Leopard,27.98,27.98,TRUE,Black Leopard,Online only,US 8.5
