,DATEADDED,DATEUPDATED,NAME,BRAND,PRIMARYCATEGORIES,COLORS,PRICES.AMOUNTMAX,PRICES.AMOUNTMIN,PRICES.AVAILABILITY,PRICES.COLOR,PRICES.OFFER,PRICES.SIZE
69,2019-05-01T05:09:24Z,2019-05-01T05:09:24Z,WAVE DAICHI 2 WOMENS - MIZUNO,MIZUNO,SHOES,BLACK-PINK 9013,45,45,TRUE,BLACK-PINK 9013,ONLINE ONLY: 65% OFF,6.5 B US
70,2019-05-01T05:09:23Z,2019-05-01T05:09:23Z,WESTERN CHIEF WOMEN S PLUSH SLIP ON SLI,WESTERN CHIEF,SHOES,FLORENCE NAVY,16.62,16.62,FALSE,FLORENCE NAVY,ONLINE ONLY: 12% OFF,8
71,2019-05-01T05:09:16Z,2019-05-01T05:09:16Z,WOMEN CONTRAST COLOR PU PANEL MESH TRAI,UNIQUE BARGAINS,SHOES,BLUE,34.29,34.29,TRUE,BLUE,ONLINE ONLY: 52% OFF,8.5
72,2019-05-01T05:09:16Z,2019-05-01T05:09:16Z,FITFLOP WOMENS F-SPORTY II LACE UP FRIN,FITFLOP,SHOES,URBAN WHITE,89.99,89.99,TRUE,URBAN WHITE,ONLINE ONLY: 31% OFF,8.5 M US
73,2019-05-01T05:08:57Z,2019-05-01T05:08:57Z,EASY STREET WOMENS JUNO FAUX LEATHER AN,EASY STREET,SHOES,WHITE,346.65,346.65,FALSE,WHITE,ONLINE ONLY,8 M
74,2019-05-01T05:08:57Z,2019-05-01T05:08:57Z,SKECHERS WOMEN S MANTRA ULTRA - FORTE N,SKECHERS,SHOES,BLACK / WHITE,17.97,17.97,TRUE,BLACK / WHITE,ONLINE ONLY: 74% OFF,6.5M
75,2019-05-01T05:08:48Z,2019-05-01T05:08:48Z,DAVID TATE WOMEN S LACEY NATURAL BALLET,DAVID TATE,SHOES,NATURAL SATIN,89.93,89.93,FALSE,NATURAL SATIN,ONLINE ONLY,4
76,2019-05-01T05:08:28Z,2019-05-01T05:08:28Z,WOMEN S PLEASER BEAU 608 WEDGE HEEL,PLEASER,SHOES,CLEAR/SMOKE SYNTHETIC,81.63,81.63,TRUE,CLEAR/SMOKE SYNTHETIC,ONLINE ONLY,5
77,2019-05-01T05:08:27Z,2019-05-01T05:08:27Z,WOMEN S PLEASER BEAU 608 WEDGE HEEL,PLEASER,SHOES,CLEAR/SMOKE SYNTHETIC,59.95,59.95,TRUE,CLEAR/SMOKE SYNTHETIC,ONLINE ONLY,6
78,2019-05-01T05:08:01Z,2019-05-01T05:08:01Z,ASICS WOMEN S GT-1000 4 SILVER / PISTAC,ASICS,SHOES,SILVER / PISTACHIO / PINK GLOW,100,100,FALSE,SILVER / PISTACHIO / PINK GLOW,ONLINE ONLY,10.5M
79,2019-05-01T05:08:01Z,2019-05-01T05:08:01Z,ASICS WOMEN S GEL-TORRANCE MYSTERIOSO /,ASICS,SHOES,MYSTERIOSO / BLACK / ALUMINUM,62.29,62.29,FALSE,MYSTERIOSO / BLACK / ALUMINUM,ONLINE ONLY,7.5M
80,2019-05-01T05:07:55Z,2019-05-01T05:07:55Z,ALPINE SWISS PIERINA WOMENS BALLET FLAT,ALPINE SWISS,SHOES,BLACK PATENT,11.99,11.99,FALSE,BLACK PATENT,ONLINE ONLY: 69% OFF,SIZE 9
81,2019-05-01T05:07:16Z,2019-05-01T05:07:16Z,AEROSOLES WOMEN S TRAVELER MEMORY FOAM,AEROSOLES,SHOES,WHITE,63.19,63.19,TRUE,WHITE,ONLINE ONLY: 20% OFF,US 8.5W
82,2019-05-01T05:07:12Z,2019-05-01T05:07:12Z,WOMEN S CARLOS BY CARLOS SANTANA ALEXIA,CARLOS,SHOES,WHITE,233.25,233.25,TRUE,WHITE,ONLINE ONLY,7
83,2019-05-01T05:07:10Z,2019-05-01T05:07:10Z,WOMEN S DREW JOY,DREW,SHOES,BLACK COMBO,127.96,127.96,TRUE,BLACK COMBO,ONLINE ONLY,10.5
84,2019-05-01T05:07:08Z,2019-05-01T05:07:08Z,CITY CLASSIFIED WOMEN S CURVY ROUND CLO,CITY CLASSIFIED,SHOES,BLUE,21.99,21.99,TRUE,BLUE,ONLINE ONLY,7 BM US
85,2019-05-01T05:07:01Z,2019-05-01T05:07:01Z,FLORAL GEMMA WOMEN S WIDE WIDTH EVENING,FLORAL,SHOES,BLACK,49.95,49.95,TRUE,BLACK,ONLINE ONLY,7
86,2019-05-01T05:06:52Z,2019-05-01T05:06:52Z,WOMEN S DIBA TRUE CUDDLE BUN CHELSEA BO,DIBA,SHOES,WHITE LEATHER,148.95,148.95,TRUE,WHITE LEATHER,ONLINE ONLY,8.5
87,2019-05-01T05:06:51Z,2019-05-01T05:06:51Z,WOMEN S DIBA TRUE FLYING SOLO BOOTIE,DIBA TRUE,SHOES,CHOCOLATE LEATHER,121.33,121.33,TRUE,CHOCOLATE LEATHER,ONLINE ONLY,8.5
88,2019-05-01T05:06:07Z,2019-05-01T05:06:07Z,PYPE WOMEN CONTRAST SOLE BREATHABLE MES,UNIQUE BARGAINS,SHOES,BLUE,39.87,39.87,TRUE,BLUE,ONLINE ONLY: 50% OFF,9.5
89,2019-05-01T05:06:02Z,2019-05-01T05:06:02Z,WOMEN S AEROSOLES SILVER PLUSH GLADIATO,AEROSOLES,SHOES,SILVER METALLIC FAUX LEATHER,57.96,57.96,TRUE,SILVER METALLIC FAUX LEATHER,ONLINE ONLY,7.5
90,2019-05-01T05:06:01Z,2019-05-01T05:06:01Z,NEW BALANCE WOMEN S WX811 BM2 ANKLE-HIG,NEW BALANCE,SHOES,GG2,47.15,47.15,TRUE,GG2,ONLINE ONLY: 37% OFF,5.5M
91,2019-05-01T05:06:01Z,2019-05-01T05:06:01Z,NEW FRANCO SARTO WOMENS 30712L1 BLACK A,FRANCO SARTO,SHOES,GRAY,20.71,20.71,TRUE,GRAY,ONLINE ONLY: 44% OFF,8.5
92,2019-05-01T05:06:00Z,2019-05-01T05:06:00Z,NEW BALANCE WRL420RB: 420 CLASSIC COVER,NEW BALANCE,SHOES,COVERT GREEN,30.04,30.04,FALSE,COVERT GREEN,ONLINE ONLY,6.5 BM US WOMEN
93,2019-05-01T05:06:00Z,2019-05-01T05:06:00Z,NEW BALANCE WOMENS WRL24TA REVLITE 24 L,NEW BALANCE,SHOES,TP,22.52,22.52,TRUE,TP,ONLINE ONLY: 65% OFF,5W
