dateAdded,dateUpdated,brand,categories,primaryCategories,colors,ean / upc,name,prices.amountMax,prices.amountMin,prices.availability,prices.dateSeen,prices.offer,prices.size,sizes
2019-04-25T09:02:21Z,2019-04-25T09:02:44Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Berry,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,5,5
2019-04-25T09:02:22Z,2019-04-25T09:02:44Z,Therafit,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,White Leather,818000000000.00,Women's Therafit Melody Comfort Sandal,149.95,149.95,TRUE,2019-05-01T08:17:10Z,Online only,7,7
2019-04-25T09:02:21Z,2019-04-25T09:02:44Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Blue,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,5.5,5.5
2019-04-25T09:02:22Z,2019-04-25T09:02:44Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Green,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,11,11
2019-04-25T09:02:21Z,2019-04-25T09:02:44Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Green,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,4.5,4.5
2019-04-25T09:02:23Z,2019-04-25T09:02:23Z,Dr. Comfort,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Green,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 X-Wide (E/EE) Green Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,12,12
2019-04-25T09:02:23Z,2019-04-25T09:02:23Z,Dr. Comfort,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Blue,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 X-Wide (E/EE) Green Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,4,4
2019-04-25T09:02:19Z,2019-04-25T09:02:19Z,City Classified,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Gray,725000000000.00,Decade Suede Tan chestnut Brown Small Short Heel City Classified Women Side Zipper Ankle Boots Booties Cutout,36.99,36.99,FALSE,"2019-04-19T07:09:40Z,2019-04-19T07:05:04Z",Online only,9,9
2019-04-25T09:02:19Z,2019-04-25T09:02:19Z,Qupid,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Nutmeg,656144000000.00,Qupid Sochi-133 Womens Nubuck Side Zipper Ankle Bootie,32.95,32.95,FALSE,2019-04-25T09:02:19Z,Online only,8,8
2019-04-25T09:02:14Z,2019-04-25T09:02:14Z,Qupid,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Charcoal,610000000000.00,Qupid Women's Vinci-49Xx Over The Knee Boot,36.9,36.9,FALSE,2019-04-25T09:02:14Z,Online only,10,10
