cncode,yr,deflator,weight,age,hhsize,male,married,literate,yedu,urban,labor,haccount,hloan_rec,own_house,yhtot,d_labor1,d_labor2,d_labor3,d_age1,d_age2,d_age3,d_age4,yhtot_usd
ALB,2002,0.006499957,41,44,5,1,1,1,17,1,1,,,1,320800,1,0,0,0,0,1,0,2085.186035
ALB,2002,0.006499957,318,63,6,1,1,1,8,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,296,61,5,1,1,1,8,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,241,46,3,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,140,49,2,1,1,1,17,1,1,,,1,480000,1,0,0,0,0,1,0,3119.979248
ALB,2002,0.006499957,93,66,4,1,0,1,4,0,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,412,74,6,0,0,0,,0,3,,,1,150000,0,0,1,0,0,0,1,974.9935303
ALB,2002,0.006499957,93,56,7,1,1,1,4,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,178,39,5,0,1,1,15,1,3,,,1,0,0,0,1,0,1,0,0,0
ALB,2002,0.006499957,318,69,5,0,0,1,4,1,3,,,1,624000,0,0,1,0,0,0,1,4055.973145
ALB,2002,0.006499957,412,74,2,1,1,1,4,0,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,241,46,4,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,184,47,4,1,1,1,8,1,1,,,1,432000,1,0,0,0,0,1,0,2807.981445
ALB,2002,0.006499957,184,44,4,1,1,1,15,1,1,,,1,279500,1,0,0,0,0,1,0,1816.737915
ALB,2002,0.006499957,140,72,3,0,0,1,10,1,3,,,1,290000,0,0,1,0,0,0,1,1884.987427
ALB,2002,0.006499957,158,32,3,1,1,1,12,1,1,,,1,240000,1,0,0,0,1,0,0,1559.989624
ALB,2002,0.006499957,143,66,3,1,1,1,0,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,412,59,8,1,1,1,8,0,1,,,1,150000,1,0,0,0,0,1,0,974.9935303
ALB,2002,0.006499957,93,65,3,1,1,1,4,0,1,,,1,0,1,0,0,0,0,0,1,0
ALB,2002,0.006499957,412,22,5,1,0,1,10,0,1,,,1,480000,1,0,0,0,1,0,0,3119.979248
ALB,2002,0.006499957,158,50,5,1,1,1,15,1,2,,,1,240000,0,1,0,0,0,1,0,1559.989624
ALB,2002,0.006499957,241,61,2,1,1,1,17,0,1,,,1,197200,1,0,0,0,0,0,1,1281.791504
ALB,2002,0.006499957,241,31,2,1,1,1,4,0,1,,,1,275000,1,0,0,0,1,0,0,1787.488159
ALB,2002,0.006499957,41,35,6,1,1,1,8,1,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,241,38,5,1,1,1,8,0,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,93,28,6,0,1,1,8,0,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,412,51,3,0,0,1,5,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,275,49,3,0,0,1,15,1,1,,,0,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,143,47,4,1,1,1,17,1,1,,,1,593000,1,0,0,0,0,1,0,3854.474365
ALB,2002,0.006499957,274,59,1,0,0,1,12,1,3,,,1,0,0,0,1,0,0,1,0,0
ALB,2002,0.006499957,140,57,4,1,1,1,17,1,3,,,1,0,0,0,1,0,0,1,0,0
ALB,2002,0.006499957,41,33,4,1,1,1,8,1,3,,,0,0,0,0,1,0,1,0,0,0
ALB,2002,0.006499957,241,61,4,1,1,1,8,0,1,,,1,0,1,0,0,0,0,0,1,0
ALB,2002,0.006499957,296,43,6,1,1,1,12,1,3,,,1,0,0,0,1,0,0,1,0,0
ALB,2002,0.006499957,178,69,6,1,1,1,4,1,3,,,1,120000,0,0,1,0,0,0,1,779.994812
ALB,2002,0.006499957,93,66,6,1,1,1,8,0,1,,,1,0,1,0,0,0,0,0,1,0
ALB,2002,0.006499957,241,76,2,1,1,1,4,0,1,,,1,0,1,0,0,0,0,0,1,0
ALB,2002,0.006499957,296,45,5,1,1,1,8,1,2,,,1,116500,0,1,0,0,0,1,0,757.2449951
ALB,2002,0.006499957,158,50,4,1,1,1,15,1,2,,,1,0,0,1,0,0,0,1,0,0
ALB,2002,0.006499957,241,44,7,0,1,1,15,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,158,40,4,1,1,1,17,1,1,,,1,740000,1,0,0,0,0,1,0,4809.968262
ALB,2002,0.006499957,178,49,3,1,1,1,12,1,1,,,1,550000,1,0,0,0,0,1,0,3574.976318
ALB,2002,0.006499957,178,42,6,1,1,1,10,1,1,,,1,1080000,1,0,0,0,0,1,0,7019.953613
ALB,2002,0.006499957,158,64,5,0,0,1,4,1,3,,,1,120000,0,0,1,0,0,0,1,779.994812
ALB,2002,0.006499957,241,63,5,1,1,1,4,0,1,,,1,0,1,0,0,0,0,0,1,0
ALB,2002,0.006499957,412,74,1,0,0,1,,0,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,241,44,4,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,296,62,2,1,1,1,17,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,170,48,4,1,1,1,17,1,1,,,1,314200,1,0,0,0,0,1,0,2042.286377
ALB,2002,0.006499957,296,56,3,1,1,1,15,1,3,,,1,157300,0,0,1,0,0,1,0,1022.443237
ALB,2002,0.006499957,241,55,9,1,1,0,,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,178,50,4,1,1,1,10,1,1,,,1,336000,1,0,0,0,0,1,0,2183.985596
ALB,2002,0.006499957,412,46,4,1,1,1,17,0,1,,,1,144000,1,0,0,0,0,1,0,935.9937744
ALB,2002,0.006499957,412,38,3,1,1,1,12,0,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,41,61,3,1,1,1,8,1,3,,,1,336000,0,0,1,0,0,0,1,2183.985596
ALB,2002,0.006499957,241,62,5,1,1,1,10,0,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,241,61,3,1,1,1,8,0,1,,,1,0,1,0,0,0,0,0,1,0
ALB,2002,0.006499957,41,46,4,1,1,1,17,1,1,,,1,1582000,1,0,0,0,0,1,0,10282.93164
ALB,2002,0.006499957,158,49,3,1,1,1,0,1,1,,,1,228000,1,0,0,0,0,1,0,1481.990112
ALB,2002,0.006499957,184,55,4,1,1,1,15,1,1,,,1,156000,1,0,0,0,0,1,0,1013.993286
ALB,2002,0.006499957,241,45,5,1,1,1,15,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,93,57,4,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,178,45,5,1,1,1,6,1,1,,,1,300000,1,0,0,0,0,1,0,1949.987061
ALB,2002,0.006499957,296,30,4,1,1,1,12,1,1,,,1,300000,1,0,0,0,1,0,0,1949.987061
ALB,2002,0.006499957,241,54,7,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,276,71,4,1,1,1,15,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,412,76,4,1,1,1,0,0,1,,,1,0,1,0,0,0,0,0,1,0
ALB,2002,0.006499957,296,38,5,1,1,1,12,1,1,,,1,224400,1,0,0,0,1,0,0,1458.590332
ALB,2002,0.006499957,241,77,7,1,1,0,,0,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,296,38,4,1,1,1,12,1,1,,,1,168000,1,0,0,0,1,0,0,1091.992798
ALB,2002,0.006499957,189,60,6,1,1,1,8,1,3,,,1,102000,0,0,1,0,0,0,1,662.9956055
ALB,2002,0.006499957,93,39,7,1,1,1,8,0,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,274,54,4,1,1,1,10,1,1,,,1,402000,1,0,0,0,0,1,0,2612.982666
ALB,2002,0.006499957,412,38,4,1,1,1,8,0,1,,,1,96000,1,0,0,0,1,0,0,623.9958496
ALB,2002,0.006499957,241,55,4,1,1,1,8,0,1,,,1,120000,1,0,0,0,0,1,0,779.994812
ALB,2002,0.006499957,412,59,3,1,1,1,4,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,140,46,4,1,1,1,12,1,1,,,1,360000,1,0,0,0,0,1,0,2339.984375
ALB,2002,0.006499957,296,27,4,1,1,1,11,1,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,412,31,4,1,1,1,8,0,1,,,1,480000,1,0,0,0,1,0,0,3119.979248
ALB,2002,0.006499957,170,40,3,1,1,1,15,1,1,,,1,215800,1,0,0,0,0,1,0,1402.690674
ALB,2002,0.006499957,41,48,3,0,0,1,12,1,2,,,1,0,0,1,0,0,0,1,0,0
ALB,2002,0.006499957,41,39,5,1,1,1,15,1,1,,,1,312000,1,0,0,0,1,0,0,2027.986572
ALB,2002,0.006499957,170,43,5,1,1,1,12,1,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,412,59,8,0,1,1,8,0,3,,,1,0,0,0,1,0,0,1,0,0
ALB,2002,0.006499957,158,51,3,1,1,1,17,1,1,,,1,1005000,1,0,0,0,0,1,0,6532.456543
ALB,2002,0.006499957,93,37,3,1,0,1,15,0,1,,,1,154000,1,0,0,0,1,0,0,1000.993347
ALB,2002,0.006499957,296,82,1,1,0,1,4,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,189,49,3,1,1,1,12,1,1,,,1,264000,1,0,0,0,0,1,0,1715.988647
ALB,2002,0.006499957,41,45,5,1,1,1,12,1,1,,,0,130000,1,0,0,0,0,1,0,844.9943848
ALB,2002,0.006499957,241,54,7,1,1,1,15,0,1,,,1,600000,1,0,0,0,0,1,0,3899.974121
ALB,2002,0.006499957,241,65,7,1,1,1,4,0,1,,,1,0,1,0,0,0,0,0,1,0
